GEM unit/phase ID,GEM location ID,Plant name,owner,capacity_mw,capacity_factor,annual_generation_MWh,emission_actual,emission_threshold,is_mine_mouth,Status,Combustion technology
G100000114326,L100000104615,Jinchuan Group WP&RKA power station,WP&RKA Company [100%],50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000114327,L100000104615,Jinchuan Group WP&RKA power station,WP&RKA Company [100%],50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000114328,L100000104615,Jinchuan Group WP&RKA power station,WP&RKA Company [100%],50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000105465,L100000102823,Kalbar-1 power station,PLN,100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000113441,L100000102823,Kalbar-1 power station,PLN,100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105484,L100000102715,Kalselteng-1 power station,PT Datang DSSP Power Indonesia [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105485,L100000102715,Kalselteng-1 power station,PT Datang DSSP Power Indonesia [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105488,L100000102717,Kalteng-1 Pulang Pisau power station,PLN,60.0,0.55,289080.0,331587.855281826,374936.76,False,operating,subcritical
G100000105489,L100000102717,Kalteng-1 Pulang Pisau power station,PLN,60.0,0.55,289080.0,331587.855281826,374936.76,False,operating,subcritical
G100000105490,L100000102736,Kaltim FTP2 power station,PLN,100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105491,L100000102736,Kaltim FTP2 power station,PLN,100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105492,L100000102737,Kaltim Teluk Balikpapan power station,PLN,110.0,0.55,529980.0000000001,561148.6781692441,535809.78,False,operating,subcritical
G100000105493,L100000102737,Kaltim Teluk Balikpapan power station,PLN,110.0,0.55,529980.0000000001,561148.6781692441,535809.78,False,operating,subcritical
G100000105496,L100000102719,Kaltim-4 power station,PT Indonesia Energi Dinamika [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105497,L100000102719,Kaltim-4 power station,PT Indonesia Energi Dinamika [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000105632,L100000102798,Keban Agung power station,PT Primanaya Energi [100%],135.0,0.55,650430.0,746072.6743841085,657584.73,False,operating,subcritical
G100000105633,L100000102798,Keban Agung power station,PT Primanaya Energi [100%],135.0,0.55,650430.0,746072.6743841085,657584.73,False,operating,subcritical
G100000105669,L100000102810,Kendari-3 power station,PT DSSP Power Kendari [100%],50.0,0.55,240900.00000000003,255067.58098602,312447.30000000005,False,operating,subcritical
G100000105670,L100000102810,Kendari-3 power station,PT DSSP Power Kendari [100%],50.0,0.55,240900.00000000003,255067.58098602,312447.30000000005,False,operating,subcritical
G100000105679,L100000102826,Ketapang Smelter power station,PT Well Harvest Winning Alumina Refinery [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114899,L100000102826,Ketapang Smelter power station,PT Well Harvest Winning Alumina Refinery [100%],80.0,0.55,385440.0,408108.129577632,499915.68,False,operating,subcritical
G100000114900,L100000102826,Ketapang Smelter power station,PT Well Harvest Winning Alumina Refinery [100%],80.0,0.55,385440.0,408108.129577632,499915.68,False,operating,subcritical
G100000105680,L100000102826,Ketapang Smelter power station,PT Well Harvest Winning Alumina Refinery [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000106084,L100000102767,Labuhan Angin power station,PLN,115.0,0.55,554070.0000000001,667948.827453765,560164.77,False,operating,subcritical
G100000106085,L100000102767,Labuhan Angin power station,PLN,115.0,0.55,554070.0000000001,667948.827453765,560164.77,False,operating,subcritical
G100000106136,L100000102754,Lampung Sebalang power station,PLN,100.0,0.55,481800.00000000006,544020.3106080601,487099.8,False,operating,subcritical
G100000106137,L100000102754,Lampung Sebalang power station,PLN,100.0,0.55,481800.00000000006,544020.3106080601,487099.8,False,operating,subcritical
G100000113840,L100000104400,Medan Steel Mill power station,PT Gahapi Nisco Steel [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000113841,L100000104400,Medan Steel Mill power station,PT Gahapi Nisco Steel [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000106864,L100000102704,Merak power station,PT Merak Energi Indonesia [100%],60.0,0.55,289080.0,331587.855281826,374936.76,False,operating,subcritical
G100000106865,L100000102704,Merak power station,PT Merak Energi Indonesia [100%],60.0,0.55,289080.0,331587.855281826,374936.76,False,operating,subcritical
G100000107177,L100000102690,Nagan Raya power station,PLN,110.0,0.55,529980.0000000001,607911.068016681,535809.78,False,operating,subcritical
G100000107178,L100000102690,Nagan Raya power station,Unnamed special purpose vehicle [100%],110.0,0.55,529980.0000000001,607911.068016681,535809.78,False,operating,subcritical
G100000107179,L100000102690,Nagan Raya power station,PT Meulaboh Power Generation [100%],225.0,0.55,1084050.0000000002,1147804.11443709,1095974.55,False,operating,subcritical
G100000107180,L100000102690,Nagan Raya power station,PT Meulaboh Power Generation [100%],225.0,0.55,1084050.0000000002,1147804.11443709,1095974.55,False,operating,subcritical
G100000114352,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114488,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114489,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114901,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114902,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000114903,L100000104619,Nanshan Industrial Park power station,PT Bintan Alumina Indonesia,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000107624,L100000102834,Ombilin power station,PLN,100.0,0.55,481800.00000000006,595157.6889673801,487099.8,False,operating,subcritical
G100000107625,L100000102834,Ombilin power station,PLN,100.0,0.55,481800.00000000006,595157.6889673801,487099.8,False,operating,subcritical
G100000107720,L100000102726,Pacitan power station,PLN,315.0,0.55,1517670.0,1606925.760211926,1534364.37,False,operating,subcritical
G100000107721,L100000102726,Pacitan power station,PLN,315.0,0.55,1517670.0,1606925.760211926,1534364.37,False,operating,subcritical
G100000107730,L100000102728,Paiton-1 power station,PT Paiton Energy Pte Ltd [100%],615.0,0.55,2963070.0,3137331.246128047,2699356.77,False,operating,subcritical
G100000107731,L100000102728,Paiton-1 power station,PT Paiton Energy Pte Ltd [100%],615.0,0.55,2963070.0,3137331.246128047,2699356.77,False,operating,subcritical
G100000107732,L100000102729,Paiton-2 power station,PT Jawa Power [100%],660.0,0.55,3179880.0000000005,3366892.0690154647,2896870.6800000006,False,operating,subcritical
G100000107733,L100000102729,Paiton-2 power station,PT Jawa Power [100%],660.0,0.55,3179880.0000000005,3366892.0690154647,2896870.6800000006,False,operating,subcritical
G100000107734,L100000102730,Paiton-3 power station,PT Paiton Energy Pte Ltd [100%],815.0,0.55,3926670.000000001,3682812.261837333,3577196.3700000006,False,operating,supercritical
G100000107756,L100000102769,Pangkalan Susu power station,PLN,220.0,0.55,1059960.0000000002,1215822.136033362,1071619.56,False,operating,subcritical
G100000107757,L100000102769,Pangkalan Susu power station,PLN,220.0,0.55,1059960.0000000002,1215822.136033362,1071619.56,False,operating,subcritical
G100000107758,L100000102769,Pangkalan Susu power station,PLN,200.0,0.55,963600.0,1020270.32394408,974199.6,False,operating,subcritical
G100000107759,L100000102769,Pangkalan Susu power station,PLN,200.0,0.55,963600.0,1020270.32394408,974199.6,False,operating,subcritical
G100000107915,L100000102778,Pekanbaru Tenayan power station,PLN,110.0,0.55,529980.0000000001,561148.6781692441,535809.78,False,operating,subcritical
G100000107916,L100000102778,Pekanbaru Tenayan power station,PLN,110.0,0.55,529980.0000000001,561148.6781692441,535809.78,False,operating,subcritical
G100000107917,L100000102819,Pelabuhan Ratu power station,PLN,350.0,0.55,1686300.0000000002,1785473.066902141,1704849.3,False,operating,subcritical
G100000107918,L100000102819,Pelabuhan Ratu power station,PLN,350.0,0.55,1686300.0000000002,1785473.066902141,1704849.3,False,operating,subcritical
G100000107919,L100000102819,Pelabuhan Ratu power station,PLN,350.0,0.55,1686300.0000000002,1785473.066902141,1704849.3,False,operating,subcritical
G100000107928,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],35.0,0.55,168630.0,193426.2489143985,218713.11,False,operating,subcritical
G100000107929,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],90.0,0.55,433620.00000000006,535641.920070642,562405.14,False,operating,subcritical
G100000107930,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],90.0,0.55,433620.00000000006,535641.920070642,562405.14,False,operating,subcritical
G100000107931,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],90.0,0.55,433620.00000000006,535641.920070642,562405.14,False,operating,subcritical
G100000107932,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],150.0,0.55,722700.0,828969.6382045649,730649.7,False,operating,subcritical
G100000107926,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],150.0,0.55,722700.0,828969.6382045649,730649.7,False,operating,subcritical
G100000107927,L100000102779,Perawang Mill power station,PT Indah Kiat Pulp & Paper Tbk [100%],150.0,0.55,722700.0,828969.6382045649,730649.7,False,operating,subcritical
G100000107729,L100000102727,PLN Paiton Baru power station,PLN,660.0,0.55,3179880.0000000005,3086317.729930843,2896870.6800000006,False,operating,subcritical
G100000108040,L100000102731,PLN Paiton power station,PLN,400.0,0.55,1927200.0,2295608.22887418,1948399.2,False,operating,subcritical
G100000108041,L100000102731,PLN Paiton power station,PLN,400.0,0.55,1927200.0,2295608.22887418,1948399.2,False,operating,subcritical
G100000108075,L100000102801,Pomalaa Nickel power station,PT Aneka Tambang Tbk [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000108076,L100000102801,Pomalaa Nickel power station,PT Aneka Tambang Tbk [100%],30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000115126,L100000104831,PT Halmahera Persada Lygend Nickel Smelter power station,PT Halmahera Persada Lygend [100%],30.0,0.55,144540.0,151334.62659513,187468.38,False,operating,unknown
G100000115127,L100000104831,PT Halmahera Persada Lygend Nickel Smelter power station,PT Halmahera Persada Lygend [100%],30.0,0.55,144540.0,151334.62659513,187468.38,False,operating,unknown
G100000115067,L100000104831,PT Halmahera Persada Lygend Nickel Smelter power station,PT Halmahera Persada Lygend [100%],150.0,0.55,722700.0,756673.13297565,730649.7,False,operating,unknown
G100000115068,L100000104831,PT Halmahera Persada Lygend Nickel Smelter power station,PT Halmahera Persada Lygend [100%],150.0,0.55,722700.0,756673.13297565,730649.7,False,operating,unknown
G100000115069,L100000104831,PT Halmahera Persada Lygend Nickel Smelter power station,PT Halmahera Persada Lygend [100%],150.0,0.55,722700.0,756673.13297565,730649.7,False,operating,unknown
