GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh,cluster
G100000100540,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase I Unit 2,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,400.0,operating,1985.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,40,0.55,11747.7,96100,2.29560822887418,5,11.4780411443709,Banten,Jawa-Madura-Bali,1927200.0,1.1911624267715752,3
G100000100541,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase I Unit 3,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,400.0,operating,1988.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,37,0.55,11747.7,96100,2.29560822887418,5,11.4780411443709,Banten,Jawa-Madura-Bali,1927200.0,1.1911624267715752,3
G100000100542,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase I Unit 4,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,400.0,operating,1989.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,36,0.55,11747.7,96100,2.29560822887418,5,11.4780411443709,Banten,Jawa-Madura-Bali,1927200.0,1.1911624267715752,3
G100000100543,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase II Unit 1,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,600.0,operating,1996.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,29,0.55,10442.4,96100,3.060810971832241,6,18.36486583099344,Banten,Jawa-Madura-Bali,2890800.0,1.0588110460191784,4
G100000100544,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase II Unit 2,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,600.0,operating,1997.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,28,0.55,10442.4,96100,3.060810971832241,7,21.42567680282569,Banten,Jawa-Madura-Bali,2890800.0,1.0588110460191784,4
G100000100545,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Phase II Unit 3,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT Indonesia Power Suralaya [100%],E100001010163 [100%],PT PLN (Persero),E100000000537,600.0,operating,1997.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8919073,106.0302341,exact,,,,,,,,,28,0.55,10442.4,96100,3.060810971832241,7,21.42567680282569,Banten,Jawa-Madura-Bali,2890800.0,1.0588110460191784,4
G100000100537,L100000102699,Indonesia,https://www.gem.wiki/Banten_Suralaya_power_station,Banten Suralaya power station,Unit 08,"Jawa-9 (Unit 09), 爪哇10号 (Unit 10), 爪哇9号 (Unit 09), 苏娜拉亚电站, Jawa-10 (Unit 10), 苏拉拉耶",,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],625.0,operating,2011.0,,,subcritical,subbituminous,,,,bioenergy,,Pulomerak,Cilegon,Banten,South-eastern Asia,Asia,-5.8892179,106.0336018,exact,,,,,,,,,14,0.55,9572.2,96100,2.922649365464812,21,61.37563667476106,Banten,Jawa-Madura-Bali,3011250.0,0.9705767921842464,4
G100000100643,L100000102787,Indonesia,https://www.gem.wiki/Barru_power_station,Barru power station,Phase II Unit 1,巴鲁火电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],100.0,operating,2023.0,,,subcritical,unknown,,,,,Lampoko,Balusu,Barru,South Sulawesi,South-eastern Asia,Asia,-4.29329,119.63135,exact,,,,,,,,,2,0.55,10442.4,96100,0.51013516197204,33,16.83446034507732,Sulawesi Selatan,Sulawesi,481800.00000000006,1.058811046019178,2
G100000100641,L100000102787,Indonesia,https://www.gem.wiki/Barru_power_station,Barru power station,Unit 1,巴鲁火电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,operating,2013.0,,,subcritical,unknown,,,,bioenergy,Lampoko,Balusu,Barru,South Sulawesi,South-eastern Asia,Asia,-4.29329,119.63135,exact,,,,,,,,,12,0.55,11312.6,96100,0.2763232127348551,23,6.355433892901666,Sulawesi Selatan,Sulawesi,240900.00000000003,1.14704529985411,1
G100000100642,L100000102787,Indonesia,https://www.gem.wiki/Barru_power_station,Barru power station,Unit 2,巴鲁火电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],50.0,operating,2013.0,,,subcritical,unknown,,,,bioenergy,Lampoko,Balusu,Barru,South Sulawesi,South-eastern Asia,Asia,-4.29329,119.63135,exact,,,,,,,,,12,0.55,11312.6,96100,0.2763232127348551,23,6.355433892901666,Sulawesi Selatan,Sulawesi,240900.00000000003,1.14704529985411,1
